# Zeek dns.log — Sanitized
# Host: ACCOUNTING-PC-09 | Internal IP: 10.10.8.15
# Window: 2024-04-02 09:43:00 UTC to 2024-04-02 11:02:00 UTC
# Tool: Zeek 6.0 | Fields: ts, uid, id.orig_h, id.orig_p, id.resp_h, id.resp_p, proto, query, qtype_name, rcode_name, answers
#
# NOTE: All subdomains are algorithmically generated (DGA).
#       Interval between queries is consistently ~6 seconds.
#       Nearly all responses are NXDOMAIN — no valid resolution.
# -----------------------------------------------------------------------

ts                   uid            id.orig_h    id.orig_p  id.resp_h    id.resp_p  proto  query                              qtype_name  rcode_name  answers
1712047380.112       CGa1x3abc001   10.10.8.15   54821      10.10.0.1    53         udp    a7f3k2.updates-cdn77.com           A           NXDOMAIN    -
1712047386.118       CGa1x3abc002   10.10.8.15   54822      10.10.0.1    53         udp    bx92mq.updates-cdn77.com           A           NXDOMAIN    -
1712047392.121       CGa1x3abc003   10.10.8.15   54823      10.10.0.1    53         udp    zt18rp.updates-cdn77.com           A           NXDOMAIN    -
1712047398.119       CGa1x3abc004   10.10.8.15   54824      10.10.0.1    53         udp    kd03yw.updates-cdn77.com           A           NXDOMAIN    -
1712047404.122       CGa1x3abc005   10.10.8.15   54825      10.10.0.1    53         udp    nv55xj.updates-cdn77.com           A           NXDOMAIN    -
1712047410.117       CGa1x3abc006   10.10.8.15   54826      10.10.0.1    53         udp    qp77lc.updates-cdn77.com           A           NXDOMAIN    -
1712047416.120       CGa1x3abc007   10.10.8.15   54827      10.10.0.1    53         udp    mr44th.updates-cdn77.com           A           NXDOMAIN    -
1712047422.115       CGa1x3abc008   10.10.8.15   54828      10.10.0.1    53         udp    ws01bv.updates-cdn77.com           A           NXDOMAIN    -
1712047428.119       CGa1x3abc009   10.10.8.15   54829      10.10.0.1    53         udp    hj72qn.updates-cdn77.com           A           NXDOMAIN    -
1712047434.121       CGa1x3abc010   10.10.8.15   54830      10.10.0.1    53         udp    lp09xz.updates-cdn77.com           A           NXDOMAIN    -
1712047440.118       CGa1x3abc011   10.10.8.15   54831      10.10.0.1    53         udp    fy83ms.updates-cdn77.com           A           NXDOMAIN    -
1712047446.122       CGa1x3abc012   10.10.8.15   54832      10.10.0.1    53         udp    dx44wk.updates-cdn77.com           A           NXDOMAIN    -
1712047452.116       CGa1x3abc013   10.10.8.15   54833      10.10.0.1    53         udp    gu91cv.updates-cdn77.com           A           NXDOMAIN    -
1712047458.120       CGa1x3abc014   10.10.8.15   54834      10.10.0.1    53         udp    ek56pb.updates-cdn77.com           A           NXDOMAIN    -
